elevation,point_id,slope,longitude,latitude,clay,land_cover,annual_rainfall,NDVI,sand,silt,soc,K,LS,C,P,R,soil_loss
492,1,1.3261408805847168,34.001603575418756,11.990082770998924,52,40,567.7886070983067,0.1867227852344513,24,24,2,0.03317640299912301,0.5809260257328417,0.6317976735037207,1,285.1072643766853,3.4716540136473215
493,2,2.989274740219116,33.99163227576503,11.996820135629818,51,40,571.5228589810663,0.1678224503993988,27,22,2,0.03161023852148754,0.8043369050015466,0.6680894012382285,1,286.4627978101271,4.865960507946692
495,3,4.664666652679443,33.998369640395936,11.99762861938553,51,40,571.5228589810663,0.18902042508125305,27,22,2,0.03161023852148754,0.9615383178357356,0.6274110596766617,1,286.4627978101271,5.462793297750062
494,4,3.898650884628296,33.99109328659458,12.005443962357369,52,40,574.7521337093785,0.19175438582897186,25,23,2,0.032479115784809096,0.8947219212977529,0.6221989806792986,1,287.6350245365044,5.2007183948253655
493,5,3.704791784286499,34.00995790756107,12.003018511090247,54,40,573.4385468093678,0.20899149775505066,21,25,2,0.03425633029860485,0.8766006888617621,0.5895369804728525,1,287.1581924918005,5.083641410727387
493,6,2.1101889610290527,33.99271025410599,12.01002537030638,51,40,574.7521337093785,0.22353161871433258,25,24,2,0.032997461673208585,0.6996181249704077,0.5622746222148505,1,287.6350245365044,3.7336347975405633
493,7,2.082364082336426,33.998369640395936,11.999784576067412,53,40,571.5228589810663,0.2182086557149887,25,22,2,0.03195109714335125,0.695910068809101,0.5722225148045459,1,286.4627978101271,3.6447862725606193
494,8,2.1100785732269287,33.994596716202636,11.992508222266046,49,40,571.5228589810663,0.16445468366146088,27,24,2,0.032656992353623446,0.6996034721788361,0.674592581074026,1,286.4627978101271,4.415073426998719
487,9,2.6509602069854736,34.00834094004966,12.009486381135908,54,40,573.4385468093678,0.2739313542842865,22,24,2,0.03355190016492938,0.7665478139239013,0.47021723742307736,1,287.1581924918005,3.4727708461386855
491,10,1.326184868812561,33.994596716202636,12.007599919039258,54,40,574.7521337093785,0.24845056235790253,23,23,2,0.03284330382698634,0.5809337361598225,0.5162475332366567,1,287.6350245365044,2.8331736428358454
490,11,0.9274099469184875,34.002681553759714,11.994394684362696,51,40,567.7886070983067,0.15649868547916412,25,24,2,0.032997461673208585,0.5034748895187708,0.6899961815522456,1,285.1072643766853,3.2682353172631147
490,12,1.326141595840454,34.002412059174475,11.990352265584157,52,40,567.7886070983067,0.21228592097759247,24,24,2,0.03317640299912301,0.5809261511068636,0.5833357698729211,1,285.1072643766853,3.2053622366372374
495,13,2.6509127616882324,33.99271025410599,12.000054070652652,52,40,571.5228589810663,0.11915931105613708,27,21,2,0.03107195524352403,0.7665423183696037,0.7629535374044341,1,286.4627978101271,5.205602936854912
488,14,2.937035322189331,34.004029026685885,12.007599919039258,54,40,573.4385468093678,0.17466817796230316,23,23,2,0.03284330382698634,0.7986745816160865,0.6549032492830712,1,287.1581924918005,4.933044770923283
493,15,0.9481221437454224,34.005645994197295,11.99924558689694,54,40,567.7886070983067,0.17229583859443665,24,22,2,0.03213028729808667,0.5079436280691613,0.6594677081231519,1,285.1072643766853,3.068541089208478
490,16,2.7802884578704834,33.997022167469765,12.003826994845952,54,30,574.7521337093785,0.22330203652381897,23,23,2,0.03284330382698634,0.781315268995993,0.5627028807923297,1,287.6350245365044,4.153307209237638
492,17,4.72267484664917,34.009418918390594,11.996820135629818,52,40,567.7886070983067,0.19649939239025116,23,25,2,0.033869898467623644,0.9663249748156376,0.6131729407762703,1,285.1072643766853,5.721743213043547
494,18,2.1101205348968506,33.99594418912881,11.99924558689694,52,40,571.5228589810663,0.1588687002658844,26,22,2,0.031777761538691766,0.699609042192473,0.6854017872870902,1,286.4627978101271,4.365079698339377
492,19,2.937021493911743,34.007532456293944,11.995203168118408,54,40,567.7886070983067,0.25463196635246277,22,24,2,0.03355190016492938,0.7986730748340228,0.5049791056220265,1,285.1072643766853,3.8580500401955002
490,20,1.3261744976043701,33.999986607907346,12.00328800567548,54,40,574.7521337093785,0.23355305194854736,22,24,2,0.03355190016492938,0.5809319182680789,0.543653332728221,1,287.6350245365044,3.0479383756455807
492,21,1.8956687450408936,34.001064586248305,11.991160749339869,50,40,567.7886070983067,0.2259606420993805,25,25,2,0.0335069514991671,0.6702276286436826,0.5577480513219035,1,285.1072643766853,3.571112964279299
491,22,1.3261897563934326,34.005376499612055,12.009486381135908,55,40,573.4385468093678,0.23075582087039948,23,22,2,0.03231537737679208,0.5809345928644728,0.5488365113629053,1,287.1581924918005,2.9586982593766233
490,23,2.1101644039154053,34.004568015856364,12.005982951527841,54,40,573.4385468093678,0.21387068927288055,23,23,2,0.03284330382698634,0.6996148653177467,0.580357659350083,1,287.1581924918005,3.8293300351781894
496,24,2.082348585128784,33.99405772703216,11.990082770998924,51,40,571.5228589810663,0.2529244124889374,25,24,2,0.032997461673208585,0.6959079953600374,0.5080856312512612,1,286.4627978101271,3.342238992935599
495,25,2.65090012550354,33.99082379200934,11.99762861938553,51,40,571.5228589810663,0.18861712515354156,27,22,2,0.03161023852148754,0.7665408547196194,0.628180616625774,1,286.4627978101271,4.360294672939796
493,26,2.9892497062683105,34.009149423805354,11.994394684362696,51,40,567.7886070983067,0.20209738612174988,25,24,2,0.032997461673208585,0.8043342057024138,0.6025578747795258,1,285.1072643766853,4.559572450532603
493,27,2.0823769569396973,33.994596716202636,12.00786941362449,54,40,574.7521337093785,0.25288867950439453,23,23,2,0.03284330382698634,0.6959117913597686,0.508150691263752,1,287.6350245365044,3.3406834191105195
493,28,0.9274099469184875,33.99109328659458,11.99574215728888,52,40,571.5228589810663,0.25947174429893494,27,21,2,0.03107195524352403,0.5034748895187708,0.49620073314583557,1,286.4627978101271,2.223678662649898
492,29,5.626984596252441,34.002142564589235,11.991699738510341,52,40,567.7886070983067,0.23495396971702576,24,24,2,0.03317640299912301,1.0558105635618145,0.54106179313469,1,285.1072643766853,5.4034414658744785
492,30,0.9480899572372437,34.001334080833516,11.990082770998924,51,40,567.7886070983067,0.21578297019004822,25,24,2,0.032997461673208585,0.5079367293448944,0.5767684339939187,1,285.1072643766853,2.756131394844946
492,31,2.110076904296875,34.007532456293944,11.992238727680814,51,40,567.7886070983067,0.21557535231113434,26,23,2,0.03230579977848892,0.6996032506428336,0.5771578872262939,1,285.1072643766853,3.719077545563344
492,32,2.1101715564727783,33.998908629566415,12.007330424454018,53,40,574.7521337093785,0.22375929355621338,24,23,2,0.03265826952273852,0.6996158147334838,0.5618499935659023,1,287.6350245365044,3.692452650987371
491,33,3.3634257316589355,33.999717113322106,12.003557500260719,54,40,574.7521337093785,0.19414035975933075,22,24,2,0.03355190016492938,0.8432694871535958,0.6176571360006362,1,287.6350245365044,5.026581610924398
497,34,3.392008066177368,33.99244075952075,11.99574215728888,50,40,571.5228589810663,0.22978457808494568,28,22,2,0.03144848961887159,0.8461352947177555,0.5506388504016605,1,286.4627978101271,4.197345146087292
492,35,2.9370315074920654,34.006454477953014,12.004096489431191,54,40,573.4385468093678,0.23356200754642487,22,24,2,0.03355190016492938,0.7986741659524911,0.5436367566842424,1,287.1581924918005,4.183278529724145
492,36,3.8235349655151367,34.002951048344954,11.99951508148218,53,40,567.7886070983067,0.28650519251823425,23,24,2,0.03336120131650131,0.8877651904544205,0.4479365028128982,1,285.1072643766853,3.7823745366892068
489,37,0.9481456279754639,34.0086104346349,12.005713456942601,54,40,573.4385468093678,0.20331105589866638,22,24,2,0.03355190016492938,0.5079486614941926,0.6002613998418138,1,287.1581924918005,2.93763997118618
493,38,1.326181411743164,33.994596716202636,12.005982951527841,54,40,574.7521337093785,0.18079176545143127,23,23,2,0.03284330382698634,0.5809331301968543,0.6431471644079689,1,287.6350245365044,3.5295969020661215
494,39,1.32615065574646,33.9943272216174,11.993855695192224,51,40,571.5228589810663,0.23994040489196777,27,22,2,0.03161023852148754,0.580927739174302,0.5318612620367693,1,286.4627978101271,2.797798779347645
491,40,0.9481036067008972,34.008071445464424,11.993855695192224,51,40,567.7886070983067,0.13854746520519257,25,24,2,0.032997461673208585,0.5079396549321475,0.7249445386634052,1,285.1072643766853,3.4642220221992672
492,41,2.0823543071746826,33.99217126493551,11.993586200606991,51,40,571.5228589810663,0.22802482545375824,27,22,2,0.03161023852148754,0.6959087609423045,0.5539078803947732,1,286.4627978101271,3.490485594454048
491,42,1.8956706523895264,33.999447618736866,11.991430243925102,50,40,571.5228589810663,0.24891795217990875,25,25,2,0.0335069514991671,0.6702278985834087,0.515393326974998,1,286.4627978101271,3.3156176216534825
493,43,2.989227533340454,33.99729166205498,11.992238727680814,51,40,571.5228589810663,0.26744940876960754,26,23,2,0.03230579977848892,0.8043318148833658,0.4818189479778259,1,286.4627978101271,3.5864753372814726
494,44,3.704791784286499,33.9905542974241,11.994125189777463,52,40,571.5228589810663,0.2591831088066101,27,21,2,0.03107195524352403,0.8766006888617621,0.49672314513839666,1,286.4627978101271,3.87572555223924
491,45,2.650934934616089,34.004568015856364,12.004365984016424,56,40,573.4385468093678,0.20577944815158844,22,22,2,0.03250641609418257,0.766544886651026,0.5955962933493234,1,287.1581924918005,4.261670599788851
493,46,0.9274099469184875,33.994596716202636,11.99547266270364,51,40,571.5228589810663,0.15538711845874786,27,22,2,0.03161023852148754,0.5034748895187708,0.6921526675997536,1,286.4627978101271,3.1555547117270373
493,47,0.0,34.005645994197295,11.994933673533168,53,30,567.7886070983067,0.15652714669704437,24,23,2,0.03265826952273852,0.16531147321376102,0.6899409794119495,1,285.1072643766853,1.0619801250246799
493,48,1.326177954673767,34.009418918390594,12.004635478601664,54,40,573.4385468093678,0.11880339682102203,22,24,2,0.03355190016492938,0.5809325242329398,0.7636535444615061,1,287.1581924918005,4.274254675300686
490,49,2.1101574897766113,34.005376499612055,12.004904973186896,56,40,573.4385468093678,0.20907361805438995,22,22,2,0.03250641609418257,0.6996139475473722,0.5893822352131549,1,287.1581924918005,3.8489813052247785
492,50,2.989333152770996,33.99567469454357,12.002749016505007,51,40,574.7521337093785,0.12641702592372894,25,24,2,0.032997461673208585,0.8043432033138276,0.7486962572214293,1,287.6350245365044,5.715699124110699
491,51,0.9274099469184875,34.005107005026815,12.006791435283546,54,40,573.4385468093678,0.19619308412075043,23,23,2,0.03284330382698634,0.5034748895187708,0.613754829227036,1,287.1581924918005,2.914343820811571
492,52,2.1101346015930176,33.999986607907346,12.00140154357883,54,40,574.7521337093785,0.18791837990283966,23,23,2,0.03284330382698634,0.6996109093981338,0.6295143484382542,1,287.6350245365044,4.160550637394307
490,53,0.9481114149093628,34.001873070003995,11.996011651874113,51,40,567.7886070983067,0.23316644132137299,26,23,2,0.03230579977848892,0.5079413285100075,0.544369028310487,1,285.1072643766853,2.5468052642160117
493,54,0.948121190071106,34.006454477953014,11.998976092311707,53,40,567.7886070983067,0.1654660701751709,23,24,2,0.03336120131650131,0.5079434236645349,0.6726384893915418,1,285.1072643766853,3.2497280612187933
491,55,2.842400550842285,34.003759532100645,12.009486381135908,55,40,573.4385468093678,0.17080356180667877,23,22,2,0.03231537737679208,0.7882621029190363,0.6623416962531259,1,287.1581924918005,4.844881804817176
495,56,0.0,33.99729166205498,11.998167608556003,51,40,571.5228589810663,0.19417765736579895,27,22,2,0.03161023852148754,0.16531147321376102,0.617586188881176,1,286.4627978101271,0.9244779852025463
492,57,4.6273674964904785,33.9943272216174,11.99735912480029,52,40,571.5228589810663,0.1783403605222702,26,22,2,0.031777761538691766,0.9584419515340706,0.6478488303201311,1,286.4627978101271,5.6523757535404355
495,58,3.8985071182250977,33.99163227576503,11.994933673533168,52,40,571.5228589810663,0.2523154616355896,27,21,2,0.03107195524352403,0.8947086828448862,0.509194652210154,1,286.4627978101271,4.055106809635479
491,59,0.0,34.00699346712349,12.000862554408357,54,40,573.4385468093678,0.12835389375686646,24,22,2,0.03213028729808667,0.16531147321376102,0.7448971017335068,1,287.1581924918005,1.136148503142137
490,60,0.9274099469184875,33.998908629566415,11.998706597726475,51,40,571.5228589810663,0.17272727191448212,27,22,2,0.03161023852148754,0.5034748895187708,0.6586372078892251,1,286.4627978101271,3.0027562443426525
491,61,2.9893970489501953,33.998639134981175,12.009216886550668,54,40,574.7521337093785,0.21438191831111908,23,23,2,0.03284330382698634,0.8043500928122895,0.5793976480968166,1,287.6350245365044,4.40261237449313
